,title,price,link
10,"HP 255 G9 (840T7PA) Notebook (AMD Athlon Silver-3050U/ 4GB RAM/ 256GB SSD/DOS/ 15.6"" Screen/ 1 Year Warranty), Black  ","19,400",https://amazon.in//HP-255-G9-Notebook-Silver-3050U/dp/B0C8VF4DL5/ref=sr_1_84?dib=eyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY&dib_tag=se&keywords=laptop&qid=1724844425&sr=8-84
11,"Lenovo IdeaPad Slim 5 12th Gen Intel Core i5 12450H 14"" (36cm) WUXGA IPS 300Nits Thin and Light Laptop (16GB/1TB SSD/Win 11/Office 21/BacklitKB/FHD Camera/Alexa/3 Mon Game Pass/Grey/1.46Kg),83BF0043IN  ","63,180",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MjYwODY1NTQyNTg0ODI3OjE3MjQ4NDQ0MjU6c3BfYnRmOjMwMDEwMzQ5ODU4NjAzMjo6MDo6&url=%2FLenovo-IdeaPad-300Nits-BacklitKB-83BF0043IN%2Fdp%2FB0CNK1VTZW%2Fref%3Dsr_1_85_sspa%3Fdib%3DeyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844425%26sr%3D8-85-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
12,"Lenovo ThinkPad E14 Intel Core i3 13th Gen 14"" WUXGA IPS 300 Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/FPR/Black/1Y Onsite/1.41 kg), 21JKS13L00  ","48,890",https://amazon.in//sspa/click?ie=UTF8&spc=MTo0MjYwODY1NTQyNTg0ODI3OjE3MjQ4NDQ0MjU6c3BfYnRmOjMwMDMxNDM3NTYzNjgzMjo6MDo6&url=%2FLenovo-ThinkPad-Laptop-Windows-21JKS13L00%2Fdp%2FB0D66YKRTZ%2Fref%3Dsr_1_86_sspa%3Fdib%3DeyJ2IjoiMSJ9.GtnYLNdqE98YeJwED4v3ohCfLkLq-IWHNVeWDIHlzuZeUWFN-WvOuquY3TmEWWovxx1KGwnqQHZxkL9NULWjW3L2ZgV4igSsj0Y7y_4p8M2I3R-_riSp896uVgrkwHTX7N808t6I-J-JLwW0o4cZkVRxLezlOr8UvxjKrACAJzG37pnTxvzTGLx_DoodKIokdNf6v0VOuxCozDO83vKlJIR_2xq64VIbazCQQ3Dx-RA.LFulnaFhD7AZIJJyUkcNB3LrJO6X3D3q6Zk7uSTixYY%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844425%26sr%3D8-86-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9idGY%26psc%3D1
13,"MSI Commercial 14 H, Intel 13th Gen i7-13700H, 36CM Business Laptop(32GB/1TB NVMe SSD/Windows 11 Pro/Intel Xe Graphics/Solid Grey/1.6Kg), A13MG vPro-065IN  ","1,09,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3OTI2ODQ3NzY1NTYxMjkwOjE3MjQ4NDQ0MDg6c3BfbXRmOjMwMDI2MDU4NTc1MDEzMjo6MDo6&url=%2FMSI-Commercial-i7-13700H-Business-vPro-065IN%2Fdp%2FB0CV3WFK56%2Fref%3Dsr_1_12_sspa%3Fdib%3DeyJ2IjoiMSJ9.MPfRRWvR1zv8cS4EMt5RBaNu69b4O1sNkIk9bvdoBdgXUNROBVNK5LTVCuIKMZcde85G289Jga3jfVgcSNhfgcaOZ8nYqSDxQsFLZcnGfK0lsvAaU0kKTtscNQzzZ0voXuhmQF88VcES9d8FFudj4EUyfpmwmbpl_muaeMH6_3nFqmixZIYTSIaanzGvBknGDWYXlYoUpuTSoqqSCNLhqNlHhGjlwQM3a-RS1X8nUtw.0dJPNyW1m5cbhJYsmii28fe0Pok_4LqmgBvX7Yq0tAk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844408%26sr%3D8-12-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1
14,"Apple 2023 MacBook Pro (16-inch, M3 Pro chip with 12â€‘core CPU and 18â€‘core GPU, 18GB Unified Memory, 512GB) - Space Black  ","2,39,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTI3ODQyODI4MDY2MTAwOjE3MjQ4NDQ0Mjk6c3BfYXRmX25leHQ6MzAwMDg1NDAzMjE5MzMyOjowOjo&url=%2FApple-MacBook-16-inch-12%25E2%2580%2591core-18%25E2%2580%2591core%2Fdp%2FB0CM5QG1Y1%2Fref%3Dsr_1_81_sspa%3Fdib%3DeyJ2IjoiMSJ9.MKZ5ue9xhvzk-tKZtB2XL_ujcj03djtnkCMwP9BE8kjBKj5agoRR-DGqo5X3LbPvEWP_rhLUdFbZmzmzVYQMd4HpWILJsSjL0IUKC_b9JoKTu53CbddIVGJT0UyQrzKrtAiJ5GnbNEYsj44ebv0csO237XEUCUbgYa1rFyCgizY_f8oU-6S3qHUFvCDtEW-OjQ2wnh0re2ROBN6KVUVnjz7s8Esc4Gk1sUPadITP73U.UawRpjGZhV_ns7cZQNeKqWLKIh3AetomMqCDzXZSmLE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844429%26sr%3D8-81-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
15,"MSI Thin 15, Intel Core i7-12650H, 40CM FHD 144Hz Gaming Laptop(16GB/512GB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 2050,GDDR6 4GB/Cosmos Gray/1.86Kg), B12UCX-1694IN  ","59,990",https://amazon.in//sspa/click?ie=UTF8&spc=MTo4NTI3ODQyODI4MDY2MTAwOjE3MjQ4NDQ0Mjk6c3BfYXRmX25leHQ6MzAwMjQ2MDg5NjYxMDMyOjowOjo&url=%2FMSI-i7-12650H-Windows-GeForce-B12UCX-1694IN%2Fdp%2FB0CV9S7ZV6%2Fref%3Dsr_1_82_sspa%3Fdib%3DeyJ2IjoiMSJ9.MKZ5ue9xhvzk-tKZtB2XL_ujcj03djtnkCMwP9BE8kjBKj5agoRR-DGqo5X3LbPvEWP_rhLUdFbZmzmzVYQMd4HpWILJsSjL0IUKC_b9JoKTu53CbddIVGJT0UyQrzKrtAiJ5GnbNEYsj44ebv0csO237XEUCUbgYa1rFyCgizY_f8oU-6S3qHUFvCDtEW-OjQ2wnh0re2ROBN6KVUVnjz7s8Esc4Gk1sUPadITP73U.UawRpjGZhV_ns7cZQNeKqWLKIh3AetomMqCDzXZSmLE%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724844429%26sr%3D8-82-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1
16,"Dell [Smartchoice] G15-5530 Gaming Laptop, Intel Core i5-13450HX, 16GB DDR5, 1TB, NVIDIA RTX 3050,6GB GDDR6,15.6"" (39.62cm) FHD 120Hz 250 nits,Backlit KB Orange,Win 11 + MSO'21,Dark Shadow Gray,2.65kg  ","80,390",https://amazon.in//Dell-Smartchoice-G15-5530-Gaming-i5-13450HX/dp/B0CRKXDX83/ref=sr_1_83?dib=eyJ2IjoiMSJ9.MKZ5ue9xhvzk-tKZtB2XL_ujcj03djtnkCMwP9BE8kjBKj5agoRR-DGqo5X3LbPvEWP_rhLUdFbZmzmzVYQMd4HpWILJsSjL0IUKC_b9JoKTu53CbddIVGJT0UyQrzKrtAiJ5GnbNEYsj44ebv0csO237XEUCUbgYa1rFyCgizY_f8oU-6S3qHUFvCDtEW-OjQ2wnh0re2ROBN6KVUVnjz7s8Esc4Gk1sUPadITP73U.UawRpjGZhV_ns7cZQNeKqWLKIh3AetomMqCDzXZSmLE&dib_tag=se&keywords=laptop&qid=1724844429&sr=8-83
17,"ASUS Vivobook Go 15 (2023), AMD Ryzen 5 7520U, 15.6"" (39.62 cm) FHD, Thin and Light Laptop (16GB/512GB SSD/Integrated Graphics/Windows 11/Office 2021/Silver/1.8 Kg), E1504FA-NJ541WS  ","41,690",https://amazon.in//ASUS-Vivobook-Integrated-Graphics-E1504FA-NJ541WS/dp/B0BQSH511C/ref=sr_1_84?dib=eyJ2IjoiMSJ9.MKZ5ue9xhvzk-tKZtB2XL_ujcj03djtnkCMwP9BE8kjBKj5agoRR-DGqo5X3LbPvEWP_rhLUdFbZmzmzVYQMd4HpWILJsSjL0IUKC_b9JoKTu53CbddIVGJT0UyQrzKrtAiJ5GnbNEYsj44ebv0csO237XEUCUbgYa1rFyCgizY_f8oU-6S3qHUFvCDtEW-OjQ2wnh0re2ROBN6KVUVnjz7s8Esc4Gk1sUPadITP73U.UawRpjGZhV_ns7cZQNeKqWLKIh3AetomMqCDzXZSmLE&dib_tag=se&keywords=laptop&qid=1724844429&sr=8-84
18,"Samsung Galaxy Book4 (Gray, 16GB RAM, 512GB SSD) | 15.6"" Full HD Screen | Intel Core i5 1335U Processor | Windows 11 Home | MS Office 2021 | Fingerprint Reader | Intel Iris XE Graphics | RJ45 LAN Port  ","61,980",https://amazon.in//Samsung-Processor-Windows-Fingerprint-Graphics/dp/B0D143SJ9R/ref=sr_1_85?dib=eyJ2IjoiMSJ9.MKZ5ue9xhvzk-tKZtB2XL_ujcj03djtnkCMwP9BE8kjBKj5agoRR-DGqo5X3LbPvEWP_rhLUdFbZmzmzVYQMd4HpWILJsSjL0IUKC_b9JoKTu53CbddIVGJT0UyQrzKrtAiJ5GnbNEYsj44ebv0csO237XEUCUbgYa1rFyCgizY_f8oU-6S3qHUFvCDtEW-OjQ2wnh0re2ROBN6KVUVnjz7s8Esc4Gk1sUPadITP73U.UawRpjGZhV_ns7cZQNeKqWLKIh3AetomMqCDzXZSmLE&dib_tag=se&keywords=laptop&qid=1724844429&sr=8-85
19,"Acer Aspire 7 Intel Core i5 12th Gen 12450H - (16 GB/512 GB SSD/Windows 11 Home/4 GB Graphics/NVIDIA GeForce RTX 2050) A715-76G Gaming Laptop (15.6 Inch, Charcoal Black, 2.1 Kg)  ","55,490",https://amazon.in//Acer-Aspire-Intel-Core-12450H/dp/B0D45THCGJ/ref=sr_1_86?dib=eyJ2IjoiMSJ9.MKZ5ue9xhvzk-tKZtB2XL_ujcj03djtnkCMwP9BE8kjBKj5agoRR-DGqo5X3LbPvEWP_rhLUdFbZmzmzVYQMd4HpWILJsSjL0IUKC_b9JoKTu53CbddIVGJT0UyQrzKrtAiJ5GnbNEYsj44ebv0csO237XEUCUbgYa1rFyCgizY_f8oU-6S3qHUFvCDtEW-OjQ2wnh0re2ROBN6KVUVnjz7s8Esc4Gk1sUPadITP73U.UawRpjGZhV_ns7cZQNeKqWLKIh3AetomMqCDzXZSmLE&dib_tag=se&keywords=laptop&qid=1724844429&sr=8-86
